Codigo;Nome completo;Unidade;Periodicidade;Inicio_dd/MM/aaaa;Ultimo_Valor;Desativada;Fonte;Especial
173;Fundo de conversão-capital estrangeiro - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
174;Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
175;Fundo de conversão-capital estrangeiro - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
176;Fundo de renda fixa-capital estrangeiro - Aplicações em títulos federais;u.m.c. (mil);M;31/05/1993;01/03/2001;S;Sisbacen PESP300;N
177;Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa;u.m.c. (mil);M;31/05/1993;01/03/2001;S;Sisbacen PESP300;N
178;Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários;u.m.c. (mil);M;31/05/1993;01/03/2001;S;Sisbacen PESP300;N
179;Fundo de renda fixa-capital estrangeiro - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/03/2001;S;Sisbacen PESP300;N
180;Fundo de renda fixa-capital estrangeiro - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/03/2001;S;Sisbacen PESP300;N
181;Depósitos especiais remunerados - Crédito rural;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
182;Depósitos especiais remunerados - Depósito interfinanceiro rural;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
183;Depósitos especiais remunerados - Recolhimento especial remunerado;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
184;Depósitos especiais remunerados - Operações com lastro do SFH;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
185;Depósitos especiais remunerados - Títulos federais;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
186;Depósitos especiais remunerados - Títulos estaduais ou municipais;u.m.c. (mil);M;31/08/1991;01/12/1995;S;Sisbacen PDER300;N
187;Depósitos especiais remunerados - Circular 2369;u.m.c. (mil);M;30/09/1993;01/12/1995;S;Sisbacen PDER300;N
188;Índice nacional de preços ao consumidor (INPC);Var. % mensal;M;30/04/1979;01/09/2017;N;IBGE;N
189;Índice geral de preços do mercado (IGP-M);Var. % mensal;M;30/06/1989;01/09/2017;N;FGV;N
190;Índice geral de preços-disponibilidade interna (IGP-DI);Var. % mensal;M;29/02/1944;01/09/2017;N;FGV;N
191;Índice de preços ao consumidor-Brasil (IPC-Br);Var. % mensal;M;31/01/1990;01/09/2017;N;FGV;N
192;Índice nacional de custo da construção (INCC);Var. % mensal;M;29/02/1944;01/09/2017;N;FGV;N
